feature,importance
cat__primary_income_Retired ,0.09999999998091376
cat__community_water_suggestions_Build more water facilities ,0.08999999998248046
"cat__additional_information_JICA has installed water in some part of Juba, but that water system is not operational now, there is a needed for that system of pipes to work so that the community of Juba can access clean water.",0.07999999998671412
cat__community_water_suggestions_Na,0.07999999998479713
cat__community_water_challenges_Na,0.06666666665605916
cat__age_group_60+,0.06666666665571483
cat__distance_to_water_source_3 km,0.06333333332202505
"cat__shortage_reason_Limited daily supply, Long distance to water source",0.05999999998887953
num__household_size,0.03878947288140369
cat__community_water_suggestions_Boreholes should be drilled in every area ,0.02770941091398963
"cat__community_water_suggestions_The government and NGOs should expand piped water systems, drill more boreholes, and ensure regular monitoring of water quality. Reducing the cost of water and improving storage facilities would also help many families and schools get safe and steady water supply.",0.027192025765158504
cat__community_water_challenges_Capital ,0.02507787605335701
"cat__health_services_affected_Patient hygiene (washing, bathing)",0.024354412191648283
num__distance_to_water_source_numeric,0.0236558945956184
cat__additional_information_Actually I can suggest water sanitation to be improve by government through the campaigns and awareness in the communities such that people should live freely from water borne diseases.,0.01838876400408752
"cat__additional_information_My suggestion is clear and straightforward to the community leaders, if there's company that have machines to dig hand pump or factory that will boil water and become clean,so all these community leader is his work to request machine for water.",0.018275415636590176
cat__household_head_education_Primary school,0.013495789986038854
cat__community_water_suggestions_Government should make the roads safer to get access to water when its rain. ,0.01300708328163788
cat__community_water_suggestions_.,0.011770776877193762
"cat__community_water_suggestions_Government should improve good transport routes for the water tanks to reach the whole area .

The Government should provide taps to the community. 

The government should make sure the economy is planned without overloading the weakness of the finance ",0.01135351844507961
cat__community_water_challenges_No connected pipelines.,0.011126634971165908
cat__community_water_suggestions_Lower costs so that people can have safe water,0.011122818746243445
cat__community_water_suggestions_Water pipes should be connected to homes such that each households get water effectively ,0.010534054628225318
"cat__community_water_challenges_High cost of water 
Distance to water sources 
Absence of no enough water facilities ",0.009503774771504764
cat__health_sanitation_difficulty_Strongly disagree,0.008059448857199862
"cat__school_water_challenges_Water is far from classrooms, Poor water quality, Limited storage facilities",0.0055966460734773234
num__school_handwashing_frequency_numeric,0.005060659629658428
num__shortage,0.004690977807988766
cat__school_sleep_without_bathing_frequency_Rarely (once in a while),0.002824558925828449
num__shortage.1,0.0028240313720720414
cat__community_water_suggestions_To create pipeline that distribute water in every corner of juba,0.0023451981135913383
"cat__school_water_challenges_Long queues, Water is far from classrooms, Poor water quality, Limited storage facilities",0.0020305069415212135
cat__additional_information_Fourteen years of independence is an ample time to have connected each and every household to clean potable water,0.0019927680769977005
cat__community_water_suggestions_Promotion of water hygiene on the tap or Barhole,0.0017601500333646492
"cat__community_water_suggestions_To educate our population on the important of consuming clean water and making sure quantity matters over quality and where is possible to improve quality too,by prioritizing market based sanitation services.
Also to make sure the national government come up with policies that improve water services to all households and sanitation services beyond home such as schools and hospitals.
To educate all stakeholders in particular families to boil their water in case they could not afford water treatment items.",0.0017332323327829769
cat__community_water_suggestions_Establishing water facilities to nearer place for people's accessibility.,0.0017092433521317836
cat__community_water_suggestions_Connecting water pipeline allover the country ,0.0016943463355100763
"cat__community_water_challenges_Most water fit for drink for drinking in Juba comes from water refineries company, however purchasing them is not quite affordable considering a monthly expenses on water alone. While most people cant afford clean and potable water, only a select few have that capacity.",0.001634096133421108
num__infrastructure,0.001565667537273411
"cat__community_water_challenges_The main challenge we face is lack of access due to expensive prices, and lack of supply in some instances.",0.0015616361067222054
cat__health_shortage_coping_Store water in tanks/containers,0.0015196013812167851
cat__age_group_18-24,0.0014943455495000264
num__school_hours_water_available_numeric,0.0014877817555756065
num__health_handwashing_impact_numeric,0.0014115772758594503
"cat__community_water_challenges_Longtime distances to water points.
Poor storage facilities ",0.0014053401187627264
"cat__community_water_challenges_In my community, one of the biggest challenges is the limited availability of clean and safe drinking water. Many households rely on water delivered by trucks or collected from boreholes, which are often far away and sometimes contaminated. During the dry season, water becomes scarce, and prices rise, making it difficult for low-income families to afford. In some areas, water storage tanks are not properly maintained, leading to health risks such as waterborne diseases.",0.0013787448417175757
cat__health_water_source_Water tanker/truck,0.0012537962363754556
cat__community_water_suggestions_Pipe water ,0.001249052358714189
num__litres_per_person_per_day_num,0.0012479786003849807
num__infrastructure.1,0.0011216564349755692
num__health_shortage_frequency_numeric,0.0010937911091420394
cat__role_in_household_Head of household,0.0010598110629277478
cat__role_in_household_Relative,0.0009369657665343339
num__household_shortage_frequency_num,0.00090910242898115
cat__school_hours_water_available_More than 12 hours,0.0008181449652821775
"cat__health_services_affected_Patient hygiene (washing, bathing), Laboratory services",0.0007913970723011043
cat__community_water_suggestions_Establish more treatment plants ,0.000751516144646158
num__household_shortage_frequency,0.000716916468578806
cat__litres_per_person_per_day_71 - 100,0.0006796205798396982
cat__age_group_25-34,0.0006682818958318715
cat__health_shortage_coping_Buy water from vendors,0.000663293542403576
cat__community_water_challenges_High cost of water is very challenging in Juba,0.0006619894105887619
cat__distance_to_water_source_Water tank ,0.000628921782293379
cat__role_in_household_Child,0.0006212616225021013
"cat__additional_information_During the dry season, water becomes very scarce, and many people use untreated sources. Some areas have water that tastes salty or has a bad smell. Community awareness about water treatment and hygiene could help prevent diseases.
",0.000607308933483168
"cat__school_water_challenges_Water is far from classrooms, Poor water quality",0.000585289984462746
cat__school_type_Secondary,0.0005742943583428808
cat__school_staff_population_Not Applicable,0.0005551332403513343
"cat__community_water_suggestions_Water distribution, improving treatment methods and water sanitation. ",0.000544964431887815
cat__community_water_challenges_Long distance transportation ,0.0005274800287859855
cat__primary_income_Business,0.0005259302036813823
cat__community_water_challenges_Long distance ,0.0005235170442682201
cat__gender_Female,0.000503966031455014
cat__school_sleep_without_bathing_frequency_Daily,0.0004854807778507426
cat__household_head_education_Secondary School,0.00048311481093322664
"cat__school_water_challenges_Water is expensive, Limited storage facilities",0.00044896743538139206
cat__additional_information_No,0.00044362143105985323
num__household_shortage_seriousness,0.0004291083064190391
cat__school_water_challenges_Limited storage facilities,0.00042429268151802674
"cat__shortage_reason_High cost of water, Limited daily supply, Long distance to water source",0.00041091622441330347
cat__community_water_suggestions_Building More water tapes ,0.00039241597134461484
cat__school_water_source_Borehole / Well,0.0003892652723920794
cat__community_water_suggestions_Is high time for JICA water network to reach each household. It will reduce cost and reliable in terms of hygiene ,0.00038333741286912645
cat__community_water_challenges_Ok like me i am staying  POC3 for us to get water it's  very big problems  it you have money  you can if you don't have you will be like that,0.0003732249300716556
cat__school_ownership_University of juba ,0.00037197508237647194
num__additional_shortage,0.000349861604570659
"cat__school_water_challenges_Water is expensive, Poor water quality",0.00034969848297616656
cat__health_shortage_frequency_Daily,0.0003257960900432208
cat__household_head_education_Tertiary school,0.0003198175290828535
cat__health_water_source_Piped water,0.00031468908894286137
"cat__school_student_population_500-1,000",0.0002978945876865566
cat__school_hours_water_available_Always available,0.0002773916310248811
cat__school_role_Not Applicable,0.0002659190687731207
cat__school_type_Primary,0.000260711977446969
cat__health_water_reliability_Very reliable,0.000252813836607108
cat__main_drinking_water_Rainwater,0.0002463105701459117
num__quality,0.00023950989710377633
num__pipes.1,0.00023599275624949507
num__quality.1,0.00022561333785320697
cat__school_ownership_Not Applicable,0.00022558289320070876
cat__litres_per_person_per_day_25 - 30,0.0002210435709224592
cat__school_hours_water_available_2-6 hours,0.0002133010049725026
cat__community_water_suggestions_It's strong encourage the government of south Sudan especially in juba city to prioritize the water pipeline to every households.,0.00020975777539723124
"cat__school_water_challenges_Water is expensive, Water is far from classrooms, Poor water quality, Limited storage facilities",0.0002067360663378527
cat__community_water_suggestions_Provide chlorine to purify the water,0.0002009106593229387
cat__community_water_challenges_Poor infrastructures especially during the rainy season,0.00019920445590879075
num__school_sleep_without_bathing_frequency_numeric,0.00019220227141768272
cat__health_service_disruptions_Rarely,0.00017886196235270249
cat__school_staff_population_More than 200,0.00017812667227102777
cat__school_has_handwashing_facilities_0,0.00017160821616849406
num__additional_shortage.1,0.00017044881453641677
cat__school_staff_population_Less than 50,0.00016912515088648926
cat__litres_per_person_per_day_30 - 70,0.00016377871490777317
cat__distance_to_water_source_Its delivered ,0.00015642541717108624
cat__health_facility_typehealth_facility_type_Hospital,0.00015570994892297836
