age_group,gender,role_in_household,household_size,household_head_education,primary_income,main_drinking_water,distance_to_water_source,litres_per_person_per_day,bathing_frequency,weekly_water_cost,equitable_access,household_shortage_frequency,household_shortage_seriousness,shortage_reason,school_affiliation,school_role,school_type,school_ownership,school_student_population,school_staff_population,school_has_potable_water,school_water_source,school_monthly_water_cost,school_hours_water_available,school_equitable_access,school_water_challenges,school_drinking_frequency,school_has_handwashing_facilities,school_handwashing_frequency,school_sleep_without_bathing,school_sleep_without_bathing_frequency,health_affiliation,health_facility_typehealth_facility_type,health_facility_ownership,health_daily_patients,health_staff_count,health_water_source,health_water_reliability,health_monthly_water_cost,health_shortage_frequency,health_shortage_coping,health_service_disruptions,health_services_affected,health_toilet_closures,health_sanitation_management,health_handwashing_impact,health_hygiene_problems,health_sanitation_difficulty,community_water_challenges,community_water_suggestions,additional_information,litres_per_person_per_day_num,household_shortage_frequency_num,shortage_reason_list,distance_to_water_source_numeric,weekly_water_cost_ssp,weekly_water_cost_usd,school_monthly_water_cost_ssp,school_monthly_water_cost_usd,health_monthly_water_cost_ssp,health_monthly_water_cost_usd,school_has_potable_water_numeric,school_has_potable_water_clean,school_hours_water_available_numeric,school_handwashing_frequency_numeric,school_sleep_without_bathing_numeric,school_sleep_without_bathing_frequency_numeric,health_water_reliability_numeric,health_service_disruptions_numeric,health_shortage_frequency_numeric,health_toilet_closures_numeric,health_handwashing_impact_numeric,health_hygiene_problems_numeric,health_sanitation_difficulty_numeric,high_cost,shortage,quality,access,infrastructure,pipes,boreholes,treatment,more_taps,education,additional_high_cost,additional_shortage,additional_quality,additional_access,additional_infrastructure,additional_pipes,additional_boreholes,additional_treatment,additional_more_taps,additional_education,high_cost.1,shortage.1,quality.1,access.1,infrastructure.1,pipes.1,boreholes.1,treatment.1,more_taps.1,education.1,additional_high_cost.1,additional_shortage.1,additional_quality.1,additional_access.1,additional_infrastructure.1,additional_pipes.1,additional_boreholes.1,additional_treatment.1,additional_more_taps.1,additional_education.1,cluster_kmeans,cluster_agg,cluster_dbscan
18-24,Male,Child,4,No formal education,Farming,Rainwater,Rain water,30 - 70,Once per day,0.0,,4,3.0,High cost of water,Yes,Student,Secondary,Community-based,Less than 500,Less than 50,1,Borehole / Well,0.0,2-6 hours,Yes,Poor water quality,2-3 times,0,Rarely,Yes,A few times per week,No,,,,,,,250000.0,,,,,,,,,Not Applicable,Clean water,Pipe water ,Construct pipe water.,50.0,4,['High cost of water'],,0.0,0.0,0.0,0.0,250000.0,55.55555555555556,,1,4.0,,1.0,4.0,,,,,,,not applicable,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-1
18-24,Male,Tenant,10,Secondary School,Business,Water Tank,500m-1km,30 - 70,Twice per day,45000.0,0.0,2,1.0,High cost of water,Yes,Student,University/College,Public,Less than 500,Less than 50,1,Water tank,500.0,2-6 hours,Maybe,Water is expensive,2-3 times,1,Once,Yes,A few times per month,No,,,,,,,250000.0,,,,,,,,,Not Applicable,High cost of purchasing water ,Pipe ,Poor roads affect the movement of water tanks ,50.0,2,['High cost of water'],500.0,45000.0,10.0,500.0,0.1111111111111111,250000.0,55.55555555555556,,1,4.0,1.0,1.0,2.0,,,,,,,not applicable,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-1
25-34,Male,Head of household,2,Tertiary school,Business,Water Tank,More than 1km,101 -120,Three or more times per day,14000.0,0.0,2,3.0,"High cost of water, Limited daily supply, Long distance to water source",No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,not applicable,Not Applicable,500000.0,Not Applicable,,,,,,,,No,,,,,,,250000.0,,,,,,,,,Not Applicable,High cost of water,Provide of quality and equitable water for all. ,There is a need for installation of water pipelines to all households. ,110.5,2,"['High cost of water', 'Limited daily supply', 'Long distance to water source']",1020.0,14000.0,3.111111111111111,500000.0,111.11111111111111,250000.0,55.55555555555556,,not applicable,,,,,,,,,,,not applicable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,-1
18-24,Male,Child,19,Secondary School,Salaried job,Water Tank,More than 1km,25 - 30,Three or more times per day,750000.0,1.0,3,3.0,High cost of water,Yes,Student,University/College,Private,"More than 2,000",50-100,1,Water tank,500000.0,Less than 2 hours,Yes,Poor water quality,Rarely,0,never,Yes,Daily,No,,,,,,,250000.0,,,,,,,,,Not Applicable,Water shortages ,Provision of water pipes and water treatments,We actually need clean water for our health ,27.5,3,['High cost of water'],1020.0,750000.0,166.66666666666669,500000.0,111.11111111111111,250000.0,55.55555555555556,,1,1.0,0.0,1.0,7.0,,,,,,,not applicable,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
18-24,Female,Child,20,No formal education,Farming,River/Lake,500m-1km,25 - 30,Twice per day,35000.0,,3,3.0,High cost of water,Yes,Student,University/College,Public,"1,001-2,000",More than 200,1,Piped water,1000000.0,2-6 hours,Maybe,Long queues,More than 3 times,none,2-3 times,Yes,A few times per week,No,,,,,,,250000.0,,,,,,,,,Not Applicable,High cost of water,Setting up more piped water in every neighborhood ,No,27.5,3,['High cost of water'],500.0,35000.0,7.777777777777779,1000000.0,222.22222222222223,250000.0,55.55555555555556,,1,4.0,2.5,1.0,4.0,,,,,,,not applicable,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,-1
25-34,Male,Relative,16,Secondary School,Casual labour,Water Tank,500m-1km,30 - 70,Twice per day,600000.0,,1,3.0,Long distance to water source,Yes,Student,Secondary,Private,"1,001-2,000",50-100,1,Water tank,700000.0,2-6 hours,No,Water is expensive,Once,0,Once,Yes,A few times per week,Yes,Health Center,Private,Less than 50,Less than 20,Water tanker/truck,Moderately reliable,100000.0,A few times per month,Store water in tanks/containers,Rarely,"Patient hygiene (washing, bathing)",occasionally,"Alternative water sources used (tankers, boreholes, wells)",Sometimes affected,slightly,Neutral,Water ,More tanks ,Thanks you,50.0,1,['Long distance to water source'],500.0,600000.0,133.33333333333334,700000.0,155.55555555555557,100000.0,22.222222222222225,,1,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1
18-24,Male,Relative,9,No formal education,Farming,Water Tank,More than 1km,more than 120,Twice per day,40000.0,0.0,4,3.0,High cost of water,Yes,Student,University/College,Public,"More than 2,000",More than 200,1,Water tank,10000000.0,6-12 hours,No,Water is expensive,More than 3 times,1,Once,Yes,A few times per month,No,,,,,,,250000.0,,,,,,,,,Not Applicable,"Lack of water reservoir and treatment facilities or plans. 
The government haven't connected the pipeline water which would have played vital roles in distrusting clean drinking water to the local population.","My suggestion is that, the government or non_governmental organisation should initiates the plan to connect the pipeline water to the entire juba ",Water is life and clean drinking water means good health to the people and the aquatic animals. ,130.0,4,['High cost of water'],1020.0,40000.0,8.88888888888889,10000000.0,2222.222222222222,250000.0,55.55555555555556,,1,9.0,1.0,1.0,2.0,,,,,,,not applicable,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
25-34,Male,Tenant,15,Tertiary school,Salaried job,River/Lake,More than 1km,25 - 30,Twice per day,50000.0,1.0,1,2.0,Long distance to water source,Yes,Teacher,Secondary,Private,"500-1,000",Less than 50,1,Borehole / Well,750000.0,2-6 hours,Yes,Long queues,2-3 times,0,2-3 times,Yes,A few times per week,No,,,,,,,250000.0,,,,,,,,,Not Applicable,"Long distance, dirty water and expensive I'm terms of payment ",Government should provide more water facilities in distinct areas of Juba,"There is a need for water distribution companies to make water accessible anytime, anywhere ",27.5,1,['Long distance to water source'],1020.0,50000.0,11.111111111111112,750000.0,166.66666666666669,250000.0,55.55555555555556,,1,4.0,2.5,1.0,4.0,,,,,,,not applicable,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1
25-34,Male,Head of household,15,Tertiary school,Business,Water Tank,500m-1km,25 - 30,Twice per day,49000.0,1.0,3,3.0,"High cost of water, Limited daily supply, Seasonal scarcity",Yes,Student,University/College,Private,"More than 2,000",More than 200,1,Water tank,500000.0,Less than 2 hours,No,"Long queues, Water is expensive, Limited storage facilities",2-3 times,0,2-3 times,Yes,A few times per month,No,,,,,,,250000.0,,,,,,,,,Not Applicable,Bad roads ,Setting up portable clean water ,No,27.5,3,"['High cost of water', 'Limited daily supply', 'Seasonal scarcity']",500.0,49000.0,10.88888888888889,500000.0,111.11111111111111,250000.0,55.55555555555556,,1,1.0,2.5,1.0,2.0,,,,,,,not applicable,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,-1
25-34,Male,Spouse,1,Secondary School,Remittances,Water Tank,100-500m,25 - 30,Twice per day,5000.0,0.0,0,2.0,High cost of water,Yes,Student,University/College,Public,"500-1,000",50-100,2,Water tank,3.0,2-6 hours,Yes,Water is expensive,Once,0,2-3 times,Yes,Daily,Yes,Hospital,Public/Government,50-100,20-50,Borehole/well,Very reliable,5000.0,Daily,Buy water from vendors,frequently,Cleaning & sanitation,frequently,Cleaning reduced/irregular,Always affected,slightly,Strongly disagree,Lack of water ,Helps ,Yes ,27.5,0,['High cost of water'],300.0,5000.0,1.1111111111111112,3.0,0.0006666666666666,5000.0,1.1111111111111112,,2,4.0,2.5,1.0,7.0,2.0,3.0,7.0,2.0,2.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1
