year,pop,pred_lr,pred_poly,pred_exp,pred_arima,pred_prophet
2010,255000.0,3564761.7647058964,3719439.4607810974,3737245.9191815597,,
2011,267000.0,3803278.5294117928,3896085.1470565796,3909522.0730898953,,
2012,279000.0,4041795.294117689,4081569.558818817,4089739.656020367,,
2013,293000.0,4280312.058823526,4275892.696075439,4278264.744725169,,
2014,307000.0,4518828.823529422,4479054.558818817,4475480.291028926,,
2015,321000.0,4757345.588235319,4691055.147052765,4681786.899719965,,
2016,336000.0,4995862.352941215,4911894.460777283,4897603.642301042,,
2017,352000.0,5234379.117647052,5141572.499992371,5123368.9082505675,,
2018,369000.0,5472895.882352948,5380089.264701843,5359541.295525594,,
2019,386000.0,5711412.647058845,5627444.754898071,5606600.542113239,,
2020,403000.0,5949929.411764741,5883638.970584869,5865048.500525134,,
2021,421000.0,6188446.176470578,6148671.911762238,6135410.157211957,,
2022,440000.0,6426962.941176474,6422543.578426361,6418234.698971329,,
2023,459000.0,6665479.7058823705,6705253.970584869,6714096.6285126405,,
2024,479000.0,6903996.470588267,6996803.088230133,7023596.931447586,,
2025,500000.0,7142513.235294104,7297190.931365967,7347364.297074187,,
2026,500000.0,7381030.0,7606417.499996185,7686056.395436328,,
2027,500000.0,7619546.764705896,7924482.794113159,8040361.213252094,,
2028,500000.0,7858063.529411793,8251386.813720703,8410998.451423386,,
2029,500000.0,8096580.294117689,8587129.558818817,8798720.98696836,,
2030,500000.0,8335097.058823526,8931711.029407501,9204316.402342828,,
2031,500000.0,8573613.823529422,9285131.225486755,9628608.585260853,,
2032,500000.0,8812130.588235319,9647390.147052765,10072459.402260408,,
2033,500000.0,9050647.352941215,10018487.79411316,10536770.449417638,,
2034,500000.0,9289164.117647052,10398424.166660309,11022484.883761743,,
2035,500000.0,9527680.882352948,10787199.264701843,11530589.339115083,,
