year,pop,pred_lr,pred_poly,pred_exp,pred_arima,pred_prophet
2010,255000.0,5347142.647058845,5579159.191177368,5605868.878772476,,
2011,267000.0,5704917.794117689,5844127.720584869,5864283.109634985,,
2012,279000.0,6062692.9411764145,6122354.338233948,6134609.484030612,,
2013,293000.0,6420468.088235259,6413839.044116974,6417397.117087908,,
2014,307000.0,6778243.235294104,6718581.838233948,6713220.436543551,,
2015,321000.0,7136018.382352948,7036582.720588684,7022680.3495801175,,
2016,336000.0,7493793.529411793,7367841.691177368,7346405.46345174,,
2017,352000.0,7851568.676470637,7712358.75,7685053.362376038,,
2018,369000.0,8209343.823529363,8070133.897060394,8039311.943288584,,
2019,386000.0,8567118.970588207,8441167.132354736,8409900.813170062,,
2020,403000.0,8924894.117647052,8825458.455879211,8797572.750787914,,
2021,421000.0,9282669.264705896,9223007.867645264,9203115.235818157,,
2022,440000.0,9640444.411764741,9633815.367649078,9627352.048457228,,
2023,459000.0,9998219.558823466,10057880.955879211,10071144.942769205,,
2024,479000.0,10355994.70588231,10495204.632350922,10535395.397171633,,
2025,500000.0,10713769.852941155,10945786.397060394,11021046.44561139,,
2026,500000.0,11071545.0,11409626.25,11529084.593154771,,
2027,500000.0,11429320.147058845,11886724.191177368,12060541.819878433,,
2028,500000.0,11787095.29411769,12377080.220588684,12616497.677135384,,
2029,500000.0,12144870.441176414,12880694.338233948,13198081.48045286,,
2030,500000.0,12502645.588235259,13397566.544116974,13806474.603514574,,
2031,500000.0,12860420.735294104,13927696.838237762,14442912.87789163,,
2032,500000.0,13218195.882352948,14471085.22058487,15108689.103390977,,
2033,500000.0,13575971.029411793,15027731.691177368,15805155.67412684,,
2034,500000.0,13933746.176470518,15597636.25,16533727.325643016,,
2035,500000.0,14291521.323529363,16180798.89705658,17295884.008673046,,
