year,population,demand_m3yr_Low,demand_m3day_Low,demand_m3yr_Medium,demand_m3day_Medium,demand_m3yr_High,demand_m3day_High
2010,255000,3723000.0,10200.0,5584500.0,15300.0,7446000.0,20400.0
2011,267000,3898200.0,10680.0,5847300.0,16020.0,7796400.0,21360.0
2012,279000,4073400.0,11160.0,6110100.0,16740.0,8146800.0,22320.0
2013,293000,4277800.0,11720.0,6416700.0,17580.0,8555600.0,23440.0
2014,307000,4482200.0,12280.0,6723300.0,18420.0,8964400.0,24560.0
2015,321000,4686600.0,12840.0,7029900.0,19260.0,9373200.0,25680.0
2016,336000,4905600.0,13440.0,7358400.0,20160.0,9811200.0,26880.0
2017,352000,5139200.0,14080.0,7708800.0,21120.0,10278400.0,28160.0
2018,369000,5387400.0,14760.0,8081100.0,22140.0,10774800.0,29520.0
2019,386000,5635600.0,15440.0,8453400.0,23160.0,11271200.0,30880.0
2020,403000,5883800.0,16120.0,8825700.0,24180.0,11767600.0,32240.0
2021,421000,6146600.0,16840.0,9219900.0,25260.0,12293200.0,33680.0
2022,440000,6424000.0,17600.0,9636000.0,26400.0,12848000.0,35200.0
2023,459000,6701400.0,18360.0,10052100.0,27540.0,13402800.0,36720.0
2024,479000,6993400.0,19160.0,10490100.0,28740.0,13986800.0,38320.0
2025,500000,7300000.0,20000.0,10950000.0,30000.0,14600000.0,40000.0
